** AC analysis **

** Net information **
resistor       : [ rs ]
voltage source : [ vcc vin vin2 ]
current source : [ isrc ]
vccs           : [ ]
vcvs           : [ ]
ccvs           : [ ]
cccs           : [ ]
diode          : [ ]
bjt            : [ qamp qsrc1 qsrc2 ]
capacitor      : [ ]
inductor       : [ ]

** Node information **
0  : [ vcc isrc qamp vin ]
supply: [ vcc qsrc1 qsrc2 ]
cbias: [ isrc qsrc1 qsrc1 qsrc2 ]
out: [ qsrc2 qamp ]
b  : [ qamp rs ]
input2: [ rs vin2 ]
input1: [ vin2 vin ]

freq=8.12831e+06 sol=(-3.31186e-06,1.05712e-05) s=0.110778
freq=8.31764e+06 sol=(-3.14975e-06,1.03899e-05) s=0.108569
freq=8.51138e+06 sol=(-2.99314e-06,1.02093e-05) s=0.10639
freq=8.70964e+06 sol=(-2.84191e-06,1.00295e-05) s=0.104243
freq=8.91251e+06 sol=(-2.69595e-06,9.85058e-06) s=0.102128
freq=9.12011e+06 sol=(-2.55514e-06,9.67274e-06) s=0.100045
freq=9.33254e+06 sol=(-2.41935e-06,9.49608e-06) s=0.0979943
freq=9.54993e+06 sol=(-2.28845e-06,9.32073e-06) s=0.0959755
freq=9.77237e+06 sol=(-2.16232e-06,9.14678e-06) s=0.093989
freq=1e+07 sol=(-2.04084e-06,8.97435e-06) s=0.0920347
freq=1.02329e+07 sol=(-1.92387e-06,8.80351e-06) s=0.0901128
freq=1.04713e+07 sol=(-1.81128e-06,8.63436e-06) s=0.088223
freq=1.07152e+07 sol=(-1.70296e-06,8.46698e-06) s=0.0863654
freq=1.09648e+07 sol=(-1.59877e-06,8.30142e-06) s=0.0845397
freq=1.12202e+07 sol=(-1.49858e-06,8.13776e-06) s=0.0827459
freq=1.14815e+07 sol=(-1.40229e-06,7.97605e-06) s=0.0809838
freq=1.1749e+07 sol=(-1.30975e-06,7.81634e-06) s=0.0792531
freq=1.20226e+07 sol=(-1.22086e-06,7.65867e-06) s=0.0775537
freq=1.23027e+07 sol=(-1.13549e-06,7.5031e-06) s=0.0758853
freq=1.25893e+07 sol=(-1.05352e-06,7.34963e-06) s=0.0742476
freq=1.28825e+07 sol=(-9.74853e-07,7.19832e-06) s=0.0726403
freq=1.31826e+07 sol=(-8.99362e-07,7.04918e-06) s=0.0710632
freq=1.34896e+07 sol=(-8.26943e-07,6.90223e-06) s=0.0695159
freq=1.38038e+07 sol=(-7.57487e-07,6.75748e-06) s=0.067998
freq=1.41254e+07 sol=(-6.9089e-07,6.61495e-06) s=0.0665093
freq=1.44544e+07 sol=(-6.27051e-07,6.47465e-06) s=0.0650494
freq=1.47911e+07 sol=(-5.6587e-07,6.33657e-06) s=0.0636179
freq=1.51356e+07 sol=(-5.07251e-07,6.20073e-06) s=0.0622144
freq=1.54882e+07 sol=(-4.511e-07,6.06711e-06) s=0.0608386
freq=1.58489e+07 sol=(-3.97326e-07,5.93572e-06) s=0.05949
freq=1.62181e+07 sol=(-3.45841e-07,5.80654e-06) s=0.0581683
freq=1.65959e+07 sol=(-2.9656e-07,5.67957e-06) s=0.056873
freq=1.69824e+07 sol=(-2.49398e-07,5.55479e-06) s=0.0556038
freq=1.7378e+07 sol=(-2.04277e-07,5.43219e-06) s=0.0543603
freq=1.77828e+07 sol=(-1.61119e-07,5.31176e-06) s=0.053142
